2	7	11	24	27	33
8	19	20	28	31	36
9	11	15	16	31	39
4	5	6	12	26	33
4	12	13	14	21	39
2	8	11	23	24	32
2	5	13	25	26	35
15	17	18	23	30	34
8	15	19	21	32	33
10	11	18	26	33	36
10	17	23	24	37	38
1	2	5	16	27	29
3	6	8	24	31	33
5	7	8	10	11	16
1	8	12	22	23	29
16	26	27	35	36	37
10	11	31	33	35	39
1	3	5	33	34	37
13	21	26	29	35	37
2	3	12	19	33	34
3	8	10	21	28	35
6	8	10	13	30	36
7	8	13	14	22	35
5	6	16	30	33	37
4	7	21	26	31	39
1	5	12	19	22	36
12	13	15	18	26	39
7	11	19	24	30	36
10	17	22	25	32	35
5	9	10	13	26	39
12	14	18	21	30	36
5	9	10	13	17	34
1	2	4	12	25	30
17	23	25	31	33	35
7	11	21	24	25	33
6	21	26	27	29	39
3	5	9	14	27	36
10	11	21	22	25	36
1	10	11	19	20	32
1	8	13	19	33	34
2	8	15	19	21	26
11	13	17	19	29	33
3	9	23	25	36	37
3	13	19	22	34	35
2	15	18	21	25	33
1	5	12	18	20	28
2	3	11	17	22	30
3	5	9	29	30	38
19	21	30	31	34	35
1	8	18	23	34	35
1	3	5	25	35	37
3	16	19	20	28	31
1	4	9	13	23	25
1	14	17	22	37	39
3	6	11	25	33	34
7	8	9	14	19	20
2	4	12	16	29	31
9	12	19	20	31	37
1	16	30	31	35	36
3	15	23	26	30	37
3	16	19	20	27	39
8	11	16	26	27	34
13	26	27	33	34	39
9	19	21	22	30	34
2	10	14	24	29	35
5	10	17	24	26	33
8	12	18	19	28	38
1	13	17	27	33	35
1	13	19	23	24	31
3	4	7	10	11	19
2	3	5	15	18	26
4	9	21	25	26	29
13	17	18	22	24	32
4	5	14	17	23	29
2	6	16	33	35	38
8	9	29	36	38	39
2	3	4	16	20	35
1	8	12	20	29	35
1	12	17	26	36	39
1	5	13	15	16	24
4	13	15	19	26	38
5	10	28	30	38	39
9	16	21	22	27	34
4	26	31	32	36	38
8	11	24	25	28	39
4	5	10	12	18	29
5	10	23	34	35	38
6	12	13	19	21	31
18	20	22	25	29	32
10	15	18	19	23	28
7	8	9	17	24	32
6	21	22	23	27	31
4	5	10	27	35	39
2	19	24	29	35	37
5	10	13	17	19	39
2	4	5	16	32	34
1	12	16	23	28	31
11	12	23	26	30	36
15	18	27	28	29	33
1	9	19	20	32	39
3	6	8	22	31	39
3	4	12	21	29	31
1	11	18	25	27	31
8	19	22	31	32	35
4	10	14	28	30	38
3	9	13	20	29	38
7	14	18	22	26	37
3	8	12	19	23	39
3	13	17	19	24	35
6	9	15	19	20	33
12	17	23	33	37	38
4	8	12	14	16	18
10	22	25	29	36	39
3	7	9	10	35	36
1	3	18	19	28	37
2	3	6	12	30	39
14	15	21	25	30	31
1	12	15	21	28	32
1	11	13	17	19	24
4	15	20	26	30	34
7	12	23	24	33	37
5	9	13	23	26	34
6	14	20	22	25	36
7	13	15	17	18	35
9	12	14	22	32	37
3	5	10	18	20	37
4	8	21	22	35	37
5	6	11	14	16	38
3	8	17	23	32	36
13	19	24	25	29	35
18	23	27	29	35	38
1	15	17	31	34	37
2	9	14	17	31	37
4	5	7	18	19	26
3	14	26	27	28	33
10	13	22	23	26	33
3	12	15	28	30	33
1	17	18	20	22	30
10	19	20	26	29	38
2	5	9	15	30	37
6	16	17	27	30	33
7	20	23	25	34	36
4	6	20	21	23	35
1	20	22	23	26	28
8	11	21	27	36	37
8	14	18	24	31	32
4	8	10	12	13	17
3	9	16	21	34	38
5	9	17	25	29	31
1	9	11	29	35	37
3	4	29	36	38	39
14	19	20	22	23	25
4	5	22	25	28	31
7	11	24	28	31	33
14	19	21	25	30	38
3	4	9	15	17	24
6	17	18	21	22	36
8	12	13	15	28	33
3	5	8	26	27	39
10	14	17	23	24	36
3	13	16	28	29	33
15	16	20	21	28	31
3	9	12	21	22	38
1	3	26	29	31	37
11	14	20	24	28	32
1	7	23	26	37	38
1	3	7	18	21	23
1	5	16	24	27	34
7	11	14	25	28	34
11	13	14	15	23	31
5	6	10	31	33	36
5	6	8	30	33	39
7	14	17	19	24	34
9	17	21	28	34	36
5	12	19	23	34	38
4	5	12	17	22	25
16	28	31	35	38	39
9	15	18	22	25	33
3	11	21	27	30	32
1	6	17	19	20	30
8	14	25	30	36	39
9	10	28	35	37	39
8	9	10	16	33	37
6	11	19	24	28	30
6	7	15	16	23	36
8	13	17	26	32	34
12	13	23	25	33	35
11	13	14	24	27	32
3	10	12	33	34	39
3	8	11	13	25	26
2	11	14	18	22	37
1	6	7	18	26	39
6	12	13	16	24	38
2	4	7	21	37	38
2	5	11	22	23	39
14	21	22	30	31	35
7	8	13	14	23	36
3	5	7	19	28	39
8	13	19	23	27	31
11	14	23	26	29	38
5	6	7	26	33	38
16	23	29	32	36	38
3	8	15	22	36	39
2	31	34	35	38	39
17	18	25	26	36	37
9	11	13	20	26	31
2	12	27	30	34	38
4	16	23	25	30	31
4	5	10	15	33	39
3	9	10	11	23	27
15	16	18	20	28	39
20	21	30	33	35	39
8	13	15	16	22	31
4	17	19	23	34	38
7	23	26	27	32	39
7	12	16	23	33	36
1	6	13	17	35	36
5	8	19	21	23	38
11	13	18	20	21	22
22	27	28	30	36	37
3	8	17	19	28	37
8	12	16	25	28	38
6	7	11	12	16	19
3	4	9	18	22	25
1	2	8	14	16	18
10	11	12	14	32	36
6	14	19	20	24	38
11	16	24	26	34	37
10	13	17	23	35	39
1	2	6	27	34	36
1	28	29	32	36	39
5	14	19	26	29	31
11	21	23	24	36	37
12	17	20	22	29	30
3	5	15	17	22	35
2	6	14	23	29	39
1	7	19	26	36	37
4	10	19	20	22	36
1	3	5	11	27	29
6	9	12	15	26	35
2	8	20	24	26	32
1	13	14	20	33	34
3	23	26	30	32	38
12	15	18	19	25	27
22	25	27	35	36	38
2	3	10	23	26	39
1	11	13	15	22	25
7	8	9	12	22	37
1	2	15	20	27	33
8	17	21	25	29	37
8	9	17	19	27	33
12	18	21	30	33	34
7	16	22	25	35	37
4	8	24	29	34	39
2	3	4	31	33	36
5	10	16	22	33	38
12	13	22	24	33	36
3	6	8	15	35	37
7	19	22	28	29	30
2	3	5	16	25	39
6	9	11	27	28	34
15	17	21	22	35	36
1	22	24	26	31	39
3	12	16	18	19	38
16	18	30	33	35	39
16	20	28	29	32	37
2	9	20	22	25	36
3	10	19	24	25	36
14	19	23	24	25	37
5	21	25	29	31	38
3	9	14	26	27	38
9	12	15	16	29	33
11	15	17	18	32	39
1	9	11	13	28	38
1	4	12	14	25	37
7	8	15	24	34	36
9	14	29	32	33	36
16	17	19	24	33	36
3	4	9	16	36	37
2	3	9	15	17	27
24	26	29	32	37	38
8	10	14	19	24	30
1	14	28	32	35	39
8	13	26	31	32	39
4	5	25	26	34	39
4	14	16	29	36	38
3	6	11	12	17	34
1	4	22	27	37	39
7	8	12	23	32	39
1	14	20	33	36	38
4	14	19	26	34	38
11	15	18	20	26	33
9	13	22	28	31	34
4	5	7	10	21	37
6	25	34	35	37	38
3	6	8	22	27	34
2	8	14	20	25	39
4	13	24	27	28	32
18	23	27	32	36	38
3	7	10	13	27	30
5	8	11	15	26	28
4	5	9	12	17	36
17	20	23	25	30	35
1	5	16	22	26	36
8	14	17	25	35	37
5	7	10	25	30	35
16	18	19	32	35	37
6	11	23	24	26	35
4	13	14	17	20	38
