3	6	10	19
6	9	11	11
1	1	21	3
7	2	11	3
12	1	1	14
3	17	1	4
13	20	6	3
1	3	15	13
5	3	3	29
3	15	5	12
10	12	4	3
10	2	20	7
6	4	16	1
13	3	10	4
1	3	16	11
2	26	18	1
13	9	3	2
5	3	19	12
9	24	8	1
8	8	2	9
10	12	8	8
2	4	19	23
9	5	10	8
2	14	4	12
5	2	22	13
2	30	7	5
9	14	6	8
19	4	4	19
9	14	2	17
26	1	7	4
12	16	10	4
11	17	5	14
7	19	1	6
13	3	6	19
14	3	7	6
2	16	7	1
12	1	1	6
19	10	2	5
5	9	8	3
6	5	1	18
2	19	16	1
13	25	3	3
2	21	21	2
3	10	7	28
5	18	7	12
22	3	5	10
11	3	14	19
6	2	17	8
1	4	14	16
11	14	2	3
12	7	16	8
3	7	5	11
14	2	13	2
11	13	11	3
6	7	17	7
1	6	5	11
5	9	18	5
2	1	12	13
10	26	4	7
3	2	3	18
12	4	11	8
19	12	15	1
8	10	4	5
6	11	16	6
9	2	25	6
12	16	1	5
3	5	2	14
13	9	14	5
12	6	6	11
20	9	14	2
13	12	7	2
28	4	12	2
5	8	24	3
5	11	7	12
3	3	17	6
2	4	35	4
3	8	2	5
13	7	3	4
2	2	20	16
5	7	11	12
5	6	5	13
5	27	11	3
28	10	7	2
7	1	10	19
8	5	6	4
2	11	9	18
3	4	4	23
9	5	2	6
9	11	6	4
20	2	3	9
4	6	6	8
9	9	4	20
3	1	14	1
5	9	27	6
3	8	3	12
8	2	7	15
6	3	23	11
3	15	18	3
10	1	7	20
4	14	1	25
