49	35	6	39	12
25	3	32	10	43
38	31	24	40	19
20	34	49	16	3
30	24	26	4	14
16	42	31	4	21
18	22	35	41	36
46	28	22	31	17
45	13	15	18	39
8	46	32	34	49
5	42	33	17	27
44	18	19	33	38
9	48	32	12	28
26	50	42	31	6
32	12	44	49	15
40	3	18	8	13
8	16	42	46	5
49	33	35	24	46
28	36	4	43	7
24	6	9	18	3
26	25	8	48	38
12	2	43	44	32
4	17	21	15	23
25	31	12	4	8
40	50	43	2	22
43	33	42	40	13
13	46	34	14	21
38	7	45	24	2
47	18	30	9	48
16	35	33	24	43
21	9	5	7	1
39	5	22	13	36
14	21	19	30	32
15	46	40	31	35
23	1	11	41	44
37	17	39	14	3
26	49	24	29	36
33	21	9	32	31
46	22	25	28	24
25	10	3	34	21
16	8	23	50	6
15	5	29	32	17
4	14	42	22	33
37	27	48	49	4
23	28	15	33	36
27	16	20	46	18
26	46	18	42	33
4	19	25	8	44
46	8	24	34	7
15	29	41	24	33
23	29	10	26	35
47	45	3	9	17
25	17	16	40	44
40	2	38	45	7
16	43	40	33	30
32	16	40	26	47
18	12	16	7	1
9	20	24	34	15
5	29	20	16	30
11	22	43	18	16
4	3	41	47	17
14	17	1	50	24
35	2	45	50	44
23	29	50	2	20
10	25	46	1	49
9	44	46	40	43
28	44	40	17	5
15	12	2	44	29
17	47	36	32	10
47	33	15	22	29
40	48	42	38	11
19	3	9	4	28
28	20	45	41	11
32	4	20	34	1
40	21	13	23	14
39	44	46	47	18
40	45	26	14	18
27	36	38	35	48
49	3	9	25	31
15	17	30	16	23
11	31	1	3	18
6	14	27	35	19
31	24	38	1	25
13	24	47	17	20
4	17	46	2	20
11	13	3	23	15
41	33	22	50	46
31	14	7	46	35
41	11	42	23	8
3	38	45	39	41
49	44	27	31	46
49	6	46	22	33
46	45	27	43	10
44	14	8	40	34
25	30	44	36	26
38	25	3	45	16
18	20	35	13	46
7	3	16	18	25
13	19	7	20	1
40	49	19	7	18
13	23	44	31	42
39	47	5	17	4
15	12	29	19	48
40	23	5	25	35
45	2	26	44	21
14	27	7	23	35
27	30	50	47	45
46	13	27	42	30
2	34	25	24	3
29	17	44	12	50
39	48	1	20	50
19	45	49	34	28
16	7	40	10	32
42	18	47	16	1
15	16	50	22	14
12	4	6	13	1
28	35	14	16	34
42	10	25	7	39
1	43	20	44	10
39	4	44	29	28
1	45	7	25	23
28	30	15	37	43
11	27	35	34	39
30	28	15	50	42
9	33	4	8	43
46	22	33	43	42
15	6	38	21	18
11	12	40	5	30
22	8	36	4	44
14	26	20	6	46
12	38	36	50	22
31	21	4	42	19
50	47	37	29	38
24	19	48	21	41
44	16	23	18	19
12	26	28	37	11
13	32	20	47	34
4	48	33	10	26
6	23	19	33	34
39	7	6	36	40
45	24	46	12	38
24	10	40	14	20
31	5	33	49	28
39	46	1	17	5
16	1	2	31	50
40	49	6	21	12
35	9	19	20	10
20	10	50	35	47
10	31	16	40	37
13	2	10	5	28
19	45	11	42	9
10	12	28	29	49
7	20	21	33	41
10	25	35	37	43
42	40	3	32	20
19	3	26	36	29
23	25	4	39	37
47	1	2	24	5
14	35	45	11	44
8	36	33	34	9
11	27	19	32	42
36	37	49	39	34
16	34	14	26	38
2	26	49	13	7
1	36	31	18	20
23	49	27	19	26
22	24	4	2	8
5	15	16	37	36
16	36	34	49	18
38	11	19	42	46
