27	13	16	31	20
17	21	27	28	32
1	25	7	20	19
9	16	29	5	17
7	34	17	36	4
26	17	38	1	36
36	5	21	31	3
16	17	34	31	1
39	30	5	2	20
34	6	38	35	24
39	34	28	22	25
12	26	14	27	38
31	7	16	10	13
35	10	14	27	33
7	34	21	20	13
5	13	9	36	33
20	19	35	26	10
33	14	27	19	16
39	5	22	19	2
36	35	24	8	26
38	35	2	33	34
34	24	29	17	22
13	1	39	10	38
19	6	28	27	20
33	18	37	4	24
25	29	38	11	37
29	17	16	37	11
8	4	1	12	34
16	9	15	6	12
30	13	29	25	23
16	13	19	7	10
20	24	22	9	1
21	4	20	16	2
25	13	21	2	30
39	18	7	25	29
11	34	1	31	7
13	26	2	30	33
31	6	9	24	37
14	4	23	35	20
2	21	3	9	5
26	19	25	14	39
31	4	27	33	11
9	20	17	19	4
16	3	14	10	22
33	2	7	34	23
8	21	35	6	14
10	4	17	6	3
15	30	27	34	4
7	10	5	34	17
30	21	18	34	15
22	29	4	14	15
19	37	20	1	11
16	3	36	21	18
12	36	2	37	38
28	10	4	2	35
31	29	30	8	32
34	15	7	19	18
37	19	18	33	29
25	32	38	2	4
6	9	31	26	22
13	3	19	33	37
5	4	26	10	36
28	18	36	34	16
33	37	14	19	22
23	12	28	25	8
24	32	34	15	19
12	34	24	21	37
9	20	30	7	28
4	34	15	19	6
29	36	17	15	11
1	2	13	16	7
37	13	11	31	16
22	26	3	5	2
24	9	27	21	16
3	7	36	10	5
19	11	7	27	15
4	27	29	28	30
9	38	20	18	5
30	37	36	26	33
20	1	26	29	30
15	6	22	30	21
15	26	3	13	17
24	32	25	11	20
37	18	13	23	38
26	29	18	21	1
39	10	32	35	21
34	15	18	6	19
25	1	16	11	37
15	34	16	35	5
25	36	1	3	28
29	21	37	22	7
19	17	2	35	9
27	23	25	14	28
13	29	28	1	27
16	34	4	6	24
8	3	22	17	23
1	18	28	37	23
19	17	27	39	12
25	24	21	29	35
