16	17	35	43	44	46	49
1	9	10	19	33	43	21
2	10	28	43	44	48	39
6	30	33	38	45	46	40
12	17	25	30	32	39	47
3	14	36	38	40	48	23
3	13	19	26	33	44	5
10	11	24	25	30	49	47
18	29	31	36	47	48	17
8	15	17	22	30	43	13
18	20	21	22	30	33	26
3	8	11	18	28	45	6
10	13	16	23	36	44	42
1	7	27	31	34	39	3
7	8	13	24	28	35	26
9	20	21	28	34	35	33
6	10	14	27	30	40	5
6	24	34	39	43	44	8
21	26	32	40	42	44	12
9	10	19	23	28	49	15
12	25	36	39	42	45	29
3	13	20	35	37	39	14
8	12	23	25	45	47	43
4	7	10	14	27	31	1
8	11	22	29	39	40	30
3	4	28	30	34	41	31
2	13	24	26	31	41	40
12	29	30	40	45	48	27
8	10	11	14	19	33	30
6	9	16	19	21	28	35
10	12	29	33	47	48	24
11	18	27	33	37	43	20
16	17	21	31	39	49	29
26	28	31	36	38	45	18
9	16	18	22	23	40	13
18	25	29	30	36	48	47
15	21	24	31	37	42	32
22	24	25	32	39	42	45
1	3	6	21	22	33	19
1	23	29	32	45	49	16
8	15	25	30	31	32	1
6	31	37	40	41	42	44
3	24	26	30	34	49	47
11	25	33	35	40	42	15
16	22	28	29	32	34	43
18	24	32	36	37	44	9
8	22	28	40	46	49	9
4	6	10	11	20	35	43
6	27	33	38	40	47	16
2	16	19	20	23	34	9
4	11	15	20	35	47	25
6	17	29	37	45	47	39
9	17	19	26	37	47	13
18	22	24	28	29	33	7
5	9	18	29	39	47	35
9	15	18	21	24	28	14
9	19	26	27	42	46	21
21	23	31	33	36	38	9
5	7	32	38	40	46	47
9	15	24	33	40	46	38
2	13	27	45	48	49	19
25	29	30	31	33	47	34
5	8	13	25	33	45	38
16	23	28	38	41	43	19
18	21	36	41	45	47	17
13	16	24	25	38	43	48
12	15	17	31	47	49	26
1	2	18	26	36	44	49
5	8	17	32	38	45	18
2	5	10	11	27	39	48
10	12	27	29	34	48	39
12	13	30	41	45	49	16
20	25	26	32	34	36	9
4	9	33	36	47	49	10
15	16	22	33	37	41	27
8	21	25	34	46	48	4
3	11	16	40	43	46	36
2	12	34	39	41	45	21
5	6	18	21	36	44	32
17	24	26	27	35	49	33
3	4	21	31	33	48	26
16	19	23	30	33	40	46
7	12	32	36	40	44	45
1	3	8	9	12	40	2
7	15	25	26	27	36	12
3	5	9	22	37	46	10
5	8	10	20	33	34	45
9	17	36	38	41	45	39
18	19	22	26	30	47	43
6	7	8	21	27	38	23
6	7	9	11	34	38	8
1	5	7	16	28	46	30
10	23	26	40	45	46	12
9	10	11	13	45	49	24
4	7	15	16	43	48	26
4	11	21	24	44	49	41
11	19	22	23	41	46	5
7	19	37	38	41	42	11
4	9	10	15	38	39	49
3	10	19	30	44	48	40
27	40	41	42	45	46	20
3	12	16	17	22	30	48
5	9	14	24	30	35	21
2	3	5	27	40	46	28
6	16	29	33	41	48	23
