25	36	10	12	24	33
6	27	33	24	23	18
21	31	20	34	15	27
6	29	18	17	26	24
30	33	11	13	34	21
33	9	34	14	24	17
3	26	11	1	21	17
34	2	21	4	11	17
36	30	4	5	11	14
9	32	15	6	22	25
29	10	17	11	24	7
10	31	13	22	33	19
16	24	32	36	30	5
36	7	30	12	27	35
29	22	19	26	13	10
9	23	24	30	17	34
22	1	34	6	21	5
2	16	25	20	34	18
27	13	34	19	11	33
32	3	17	11	28	15
17	26	20	23	7	8
10	2	11	20	28	19
7	29	8	1	21	33
12	11	25	1	6	32
1	13	18	25	34	33
36	23	21	8	4	9
14	22	19	3	9	5
15	4	2	17	18	34
32	1	24	23	3	25
13	7	32	4	2	18
2	4	28	3	14	18
6	14	19	2	1	26
9	19	16	13	23	27
33	1	27	18	22	15
2	24	22	12	16	25
3	18	1	11	7	32
20	12	32	6	28	35
2	13	4	24	18	6
9	4	8	5	36	23
17	1	11	29	36	23
10	1	14	2	30	20
1	31	21	29	8	30
30	35	1	3	19	18
15	31	27	23	17	19
30	35	7	5	26	3
34	18	33	14	23	11
19	13	7	12	23	18
6	14	36	23	27	31
9	23	35	2	16	17
27	12	31	10	21	25
16	27	3	10	12	19
3	16	2	23	9	27
27	7	31	11	6	23
5	14	3	30	7	8
2	26	21	15	30	9
9	23	7	29	4	15
35	27	7	13	28	5
30	22	13	12	7	17
16	8	23	4	22	1
35	6	3	31	19	7
9	28	25	29	27	15
25	14	30	20	18	26
1	6	33	16	35	28
27	4	16	23	36	19
27	5	1	24	12	28
36	3	8	14	28	32
15	31	34	32	11	28
18	20	33	9	23	6
29	23	13	15	6	35
14	27	34	28	15	25
12	22	5	27	9	34
32	18	1	29	19	33
28	23	7	2	4	9
25	18	33	20	22	30
3	5	14	36	24	6
36	5	13	4	19	9
27	5	26	12	1	22
32	12	6	13	31	20
13	28	34	12	22	11
21	16	3	20	1	31
10	22	5	19	21	30
32	31	23	16	34	24
10	7	30	35	26	9
13	31	5	10	4	16
10	31	21	7	5	15
32	14	9	21	34	2
14	3	13	10	19	22
15	5	8	34	23	27
17	21	5	4	36	32
29	27	8	17	14	31
12	22	3	6	16	1
25	8	22	27	36	6
23	6	26	14	36	22
15	31	35	3	2	16
19	4	30	20	25	21
6	35	21	26	20	12
7	16	31	34	14	26
18	1	11	23	29	8
15	13	21	16	20	23
27	15	34	2	10	25
13	29	26	36	32	35
23	16	31	36	12	28
36	20	13	5	32	22
19	29	15	2	8	6
33	1	36	22	19	10
8	20	25	27	24	33
22	15	21	26	6	10
21	31	30	23	11	2
10	17	12	18	8	25
20	6	22	8	9	24
11	23	15	24	12	31
36	8	21	17	26	1
14	34	16	1	33	6
5	3	10	30	9	7
6	25	35	24	9	11
8	17	29	3	7	22
30	5	7	11	13	2
2	10	21	14	11	5
14	19	32	18	34	17
30	31	9	29	22	17
32	3	30	34	36	24
2	23	31	21	12	27
32	3	34	21	17	13
22	19	29	18	31	8
14	22	7	1	20	33
4	35	17	26	32	2
15	5	13	3	20	7
5	29	31	16	6	11
2	23	13	4	1	33
21	33	12	14	11	36
23	24	32	3	16	14
16	34	20	15	31	4
24	26	11	5	15	6
9	2	35	20	25	30
10	18	12	11	35	2
1	13	34	6	16	33
1	12	8	34	16	9
5	29	31	30	34	21
30	20	24	4	7	6
16	32	30	17	22	26
20	17	22	2	36	15
13	14	1	31	17	28
28	3	20	23	36	14
27	29	20	32	6	16
14	24	25	19	15	10
2	19	21	27	33	30
18	3	8	19	28	14
4	18	33	22	21	23
33	31	22	8	2	34
18	5	1	26	17	10
14	7	21	33	24	28
24	27	12	10	1	2
3	13	24	21	35	26
13	32	3	2	7	6
18	9	25	24	32	28
19	3	17	7	16	6
4	17	16	9	20	21
36	19	24	4	14	17
25	29	10	19	4	7
16	1	17	9	18	26
31	14	21	20	27	13
10	11	22	15	14	23
31	10	26	30	24	5
20	27	11	18	4	26
21	15	6	29	8	2
19	3	8	12	13	23
13	22	17	12	24	19
3	29	21	19	24	28
27	12	13	3	16	33
25	4	10	28	3	14
20	3	2	23	7	30
9	13	28	16	2	35
19	36	33	34	28	15
6	25	34	17	1	9
36	13	3	22	27	7
25	22	10	12	17	34
21	29	9	13	33	19
17	1	34	23	3	18
8	32	28	17	21	34
22	35	8	1	10	7
31	30	5	29	19	17
22	14	11	10	15	34
22	33	28	29	17	16
1	7	10	27	5	33
24	26	33	5	14	20
27	25	26	7	33	1
25	18	26	17	22	30
35	30	33	24	2	4
11	31	28	20	15	35
29	35	11	28	25	16
5	11	33	28	9	20
30	27	15	32	2	36
36	32	3	5	6	4
11	2	24	36	5	12
8	35	18	34	20	17
33	17	19	22	21	13
16	31	32	2	18	13
20	6	15	2	25	27
7	15	3	10	27	21
11	10	21	13	2	27
7	15	26	6	4	22
20	34	16	8	6	14
12	15	30	24	21	2
7	24	17	25	10	8
20	12	27	15	10	31
4	30	22	36	9	21
27	35	28	36	24	18
36	30	6	28	3	21
33	4	27	29	6	22
33	8	14	4	10	20
23	22	26	16	24	25
30	7	17	19	35	29
32	8	23	29	10	28
35	4	19	28	32	5
19	12	34	21	22	9
13	12	35	10	32	19
29	26	36	35	34	24
33	16	26	23	13	17
18	8	21	11	10	27
25	15	36	8	21	17
30	16	32	24	36	31
9	34	33	14	2	11
36	20	14	1	3	24
30	5	23	18	12	20
7	9	5	34	25	17
26	17	23	29	8	10
33	10	34	31	17	20
19	16	36	24	14	1
32	17	3	28	34	19
19	5	35	4	2	33
19	32	3	13	26	10
8	35	29	9	24	2
36	28	22	2	18	21
33	28	35	14	17	7
27	4	35	23	8	34
1	19	8	23	30	33
19	27	29	15	32	33
14	8	21	27	17	16
13	36	21	11	14	33
3	27	18	25	13	5
2	32	7	30	34	26
30	4	5	20	6	7
9	31	33	17	24	12
3	32	4	28	23	5
22	21	35	31	29	4
4	20	33	14	27	5
14	36	35	25	4	34
14	34	10	1	16	21
13	12	27	11	28	36
26	6	10	24	15	19
12	29	10	9	35	15
17	3	11	33	22	6
20	7	3	29	26	34
8	26	29	10	6	15
10	24	19	17	30	22
36	14	2	11	22	12
6	4	26	32	24	27
34	11	18	20	7	2
16	36	19	34	3	18
34	24	16	15	35	19
31	29	30	1	9	18
10	27	28	19	36	26
16	35	18	19	34	27
36	22	8	26	3	4
3	24	7	19	8	28
5	16	19	14	9	29
31	10	3	6	2	33
15	23	29	35	6	28
12	22	19	33	25	16
28	16	2	29	7	14
34	10	9	33	5	21
9	33	28	19	8	26
24	35	20	4	36	6
6	16	9	3	2	22
16	12	20	5	25	4
6	15	36	17	1	14
29	12	26	20	35	10
10	33	30	19	16	25
15	25	27	33	6	30
6	20	34	1	9	14
14	18	11	10	16	22
4	28	19	9	6	18
9	22	4	3	17	31
20	12	4	22	34	24
17	4	29	18	16	5
35	16	3	20	14	9
9	24	21	23	5	28
35	22	29	31	3	9
26	28	16	35	3	5
25	14	17	29	5	1
9	14	2	8	28	20
28	11	13	17	14	7
16	19	31	20	13	1
14	22	30	32	9	12
15	17	24	3	8	22
36	2	24	34	35	18
4	25	14	22	13	8
10	28	3	2	12	33
8	29	36	10	4	17
21	26	12	14	27	4
5	26	6	28	35	23
4	29	12	10	30	20
11	2	27	22	15	29
22	5	30	6	15	35
18	28	25	27	6	35
22	18	31	7	34	9
17	34	6	29	21	13
35	18	7	36	28	16
25	18	1	15	14	20
34	25	33	20	31	14
3	24	32	29	31	10
15	3	26	20	4	23
16	6	1	2	5	35
24	22	8	19	17	3
29	35	30	8	23	28
6	30	32	2	14	26
26	16	31	10	27	8
3	9	22	6	12	2
10	15	21	8	24	3
32	36	4	16	31	6
9	8	27	30	22	10
7	34	27	12	21	22
24	26	4	13	18	29
6	36	14	9	7	34
20	31	25	9	13	17
10	21	34	36	29	31
20	32	31	15	16	14
6	14	20	3	27	29
9	28	30	3	14	11
16	3	29	35	21	17
14	25	16	15	22	33
6	17	12	19	10	20
23	5	35	24	10	25
16	8	2	11	22	14
27	7	10	28	11	19
27	18	22	36	28	30
12	24	15	17	36	14
21	10	26	15	33	36
11	16	36	27	32	24
14	5	8	36	4	10
2	18	23	19	29	35
21	5	9	4	36	26
1	25	6	21	31	13
28	13	32	21	11	24
23	26	12	4	31	8
35	21	26	11	27	19
24	7	8	23	30	16
34	7	27	15	16	14
21	6	7	20	24	27
18	34	5	21	29	22
9	24	33	17	27	34
35	6	10	7	16	29
13	10	32	1	17	2
8	20	36	35	3	15
32	34	3	17	16	9
14	23	33	31	5	12
5	4	12	19	29	23
17	29	23	15	12	22
19	24	4	21	3	23
32	5	29	1	28	14
7	22	5	15	14	24
32	21	25	18	35	6
16	4	14	22	19	13
20	22	14	26	35	19
30	36	17	4	31	27
