15	3	48	14	49
50	27	39	45	41
30	49	46	9	24
10	21	30	45	42
36	3	18	33	1
9	17	18	21	50
46	9	35	4	50
8	33	49	35	10
36	37	42	47	13
6	10	27	32	48
29	42	15	20	35
43	31	46	16	7
23	24	44	17	22
1	43	3	20	11
26	40	5	25	14
38	14	36	31	4
21	3	46	36	41
10	24	45	29	23
29	43	3	39	4
30	41	49	44	22
42	41	37	49	9
30	2	19	49	11
8	6	14	27	41
24	42	15	35	8
41	48	29	20	18
36	37	27	42	12
41	20	35	33	47
19	35	37	3	29
33	24	19	26	28
45	33	12	27	22
6	24	16	23	10
14	10	50	33	21
1	21	4	29	3
25	1	42	15	50
29	25	5	47	24
25	39	47	14	44
46	23	34	25	47
8	18	43	17	29
40	25	31	11	7
12	10	29	11	31
28	20	49	13	4
7	39	8	44	34
11	12	50	10	22
48	2	35	33	42
50	8	37	1	19
44	7	50	33	38
45	30	19	1	2
4	20	45	25	17
13	46	3	27	30
23	39	4	15	30
15	48	2	36	32
23	46	32	16	49
7	19	34	14	40
4	17	8	16	20
22	41	8	42	29
7	21	38	20	27
20	21	49	36	18
16	37	34	25	29
30	32	20	41	44
31	42	10	15	17
48	46	6	29	47
34	47	14	12	41
7	9	11	45	16
3	24	42	33	27
1	47	42	8	11
50	47	24	9	15
10	18	13	26	7
49	45	15	29	17
15	16	40	47	39
33	23	25	44	21
41	27	50	1	18
12	7	33	5	46
28	37	9	38	25
35	37	23	19	4
8	10	16	34	4
44	22	35	48	15
39	35	2	36	32
12	39	24	25	18
28	15	19	39	6
29	47	31	13	11
46	7	2	34	35
10	18	35	16	22
14	16	49	45	37
4	3	11	7	17
34	11	36	33	3
13	2	16	24	32
48	15	7	34	45
15	16	26	30	37
43	7	6	9	14
16	33	4	34	7
18	16	35	41	36
12	9	22	18	50
13	11	48	14	34
31	14	46	32	18
35	2	8	28	17
29	44	13	48	28
45	35	42	36	41
6	49	9	30	10
24	47	13	22	33
47	2	39	20	40
9	49	11	6	32
10	20	46	40	44
39	31	46	29	22
45	16	12	2	3
27	46	19	23	26
26	37	35	18	13
36	1	48	23	31
49	35	36	17	16
14	26	29	13	2
32	8	44	11	23
32	18	7	20	16
31	40	34	4	1
30	38	19	13	46
12	11	8	44	16
23	36	2	17	15
34	20	4	19	7
20	3	4	9	12
27	49	30	24	28
42	31	37	48	23
26	14	13	24	8
13	18	46	17	20
37	35	45	24	23
45	7	2	28	21
13	42	27	23	20
10	27	5	30	19
32	19	41	8	42
48	23	14	50	39
50	27	28	48	44
18	21	33	45	10
18	16	17	49	45
12	9	2	39	40
18	4	39	7	50
7	18	49	46	15
2	36	19	37	3
47	27	8	30	35
14	49	34	44	6
20	43	41	45	10
2	13	37	38	48
43	39	28	37	6
48	30	50	42	17
6	20	4	24	25
38	10	4	14	50
27	44	12	33	16
48	15	29	20	39
46	47	29	34	19
26	50	24	2	46
13	50	36	16	44
30	42	10	21	38
8	10	11	39	30
31	47	21	39	8
20	40	5	50	7
29	48	33	49	35
18	16	8	31	34
20	40	28	2	45
40	20	10	35	17
41	26	21	40	28
18	33	20	22	43
31	43	21	29	34
45	6	22	24	20
32	9	11	21	13
14	6	23	2	19
3	23	35	34	24
10	31	41	15	42
21	45	12	48	14
14	5	42	36	40
33	20	10	21	26
41	48	7	1	24
35	43	37	5	4
21	40	23	32	49
44	35	16	34	17
23	9	40	2	32
47	25	23	30	44
3	32	5	43	9
10	13	34	4	6
40	8	33	9	35
15	31	48	20	44
35	27	25	45	40
38	7	34	32	33
11	7	27	5	37
7	35	33	36	31
34	35	12	4	45
5	29	48	8	35
48	28	2	11	42
2	12	19	11	38
23	36	44	17	14
29	25	6	36	1
27	22	44	17	23
11	3	33	46	1
35	28	11	32	17
34	7	41	26	44
15	16	21	50	41
18	26	36	50	41
21	13	39	32	50
25	3	15	43	12
27	47	33	29	32
38	25	15	37	41
34	5	14	6	23
41	27	34	49	18
14	6	9	4	37
9	44	13	39	10
21	28	13	17	48
34	8	49	18	3
48	44	32	7	47
34	23	11	13	16
29	45	40	10	30
18	8	7	42	33
37	21	17	35	23
44	4	37	49	11
19	16	14	29	10
26	28	46	5	36
50	33	16	31	10
28	34	47	16	18
21	16	34	36	44
36	25	5	46	12
29	1	9	32	20
37	5	26	15	49
26	46	28	31	16
9	16	48	37	38
50	24	35	13	11
24	3	8	50	6
29	33	12	37	47
42	34	7	23	48
49	41	22	34	21
42	27	45	23	8
43	24	46	26	38
3	13	36	25	47
8	47	34	44	2
14	32	45	2	17
7	12	33	43	19
15	19	31	8	9
11	27	47	41	43
40	6	13	42	3
18	46	30	50	21
13	4	33	25	37
42	11	34	13	40
44	16	35	45	31
20	29	21	46	45
48	42	17	34	47
33	31	19	34	43
16	17	26	23	35
1	20	11	17	27
2	15	44	35	19
30	3	12	26	9
8	46	31	27	50
20	25	27	26	12
39	12	35	21	45
20	38	35	15	24
21	19	39	35	37
24	29	42	21	22
41	13	35	19	16

