1	2	30	41	42	43	25
5	20	21	24	34	45	22
1	5	19	24	27	42	44
2	9	23	34	35	38	41
1	19	20	29	31	44	11
9	15	17	24	41	43	37
15	16	17	18	35	43	21
16	24	31	39	43	47	17
8	9	10	17	20	37	24
21	29	31	38	41	42	12
9	14	15	18	25	34	44
3	4	20	21	37	42	17
1	8	14	15	45	47	32
7	8	12	22	36	46	31
1	8	11	22	28	32	35
1	5	6	12	22	46	33
6	15	20	29	38	44	41
14	24	30	38	40	45	36
8	19	24	29	42	45	7
11	22	31	36	44	46	42
13	16	20	39	42	45	31
5	7	8	22	27	31	2
2	13	17	21	28	37	11
7	21	22	29	31	46	11
1	15	22	27	31	34	42
6	9	13	14	27	45	33
6	7	21	37	46	47	34
8	15	30	32	35	46	39
8	11	32	36	46	47	34
5	7	18	28	37	40	38
11	12	28	35	37	44	30
5	12	24	36	37	42	4
3	10	12	20	29	46	32
7	8	9	15	27	29	33
26	27	35	40	41	42	7
4	9	16	17	21	41	36
8	14	28	29	35	44	30
3	8	12	18	22	32	17
15	30	31	33	39	42	3
4	22	30	37	45	47	17
5	20	25	27	30	31	26
3	4	5	19	26	43	24
3	27	38	40	43	46	12
7	23	27	28	37	44	5
3	16	21	29	36	47	35
2	6	11	13	20	30	38
2	8	25	33	39	42	43
5	16	37	43	44	46	7
2	14	21	39	42	45	28
3	11	24	26	29	47	13
6	25	29	33	42	46	5
19	22	24	30	38	45	46
9	18	20	27	38	39	29
4	6	12	20	40	43	21
11	26	32	36	42	47	34
6	26	27	32	45	47	9
5	21	25	29	41	43	31
11	12	19	27	30	38	16
1	10	22	28	44	47	14
1	7	10	17	35	37	43
11	13	14	16	31	38	5
6	15	22	30	39	45	16
5	22	29	38	40	44	20
3	11	14	23	36	45	26
5	10	14	22	25	31	15
5	6	14	19	22	30	24
1	12	23	32	36	40	2
13	19	30	36	41	47	9
9	17	19	29	37	41	12
8	16	20	22	37	47	13
18	30	31	32	33	42	19
9	12	19	20	29	36	7
5	14	15	24	27	41	25
8	9	12	20	28	34	47
2	7	33	35	40	42	10
4	18	30	35	40	45	34
8	14	18	20	23	29	5
1	2	17	19	38	47	13
19	20	28	30	33	37	25
2	17	24	25	35	40	36
3	5	13	18	29	40	32
4	10	13	22	25	31	30
10	11	15	16	22	46	27
12	27	30	33	38	40	34
15	19	22	35	36	45	11
23	25	33	39	42	46	24
8	14	17	25	28	39	35
1	10	30	31	42	47	25
9	26	27	29	31	47	30
20	21	23	34	39	43	4
8	16	18	23	35	40	39
4	6	16	18	27	39	45
