7	8	13	24	45	46
7	19	38	45	47	53
3	7	36	42	53	59
8	10	22	37	55	57
15	19	20	29	42	50
9	10	27	30	33	45
2	11	35	40	48	55
14	25	29	30	35	53
5	8	9	10	38	53
2	8	33	46	48	50
3	12	15	29	51	58
5	19	29	34	40	45
8	26	27	29	49	58
5	19	21	42	44	57
29	33	43	45	49	56
1	22	39	44	48	59
2	10	19	28	29	31
30	33	37	43	55	56
6	7	9	18	35	46
6	11	27	29	40	55
18	28	31	32	44	51
11	19	20	30	35	49
33	37	42	47	55	58
18	36	48	57	58	59
20	32	36	44	47	56
10	20	28	38	41	46
22	25	35	45	46	57
6	14	23	24	43	58
2	32	37	39	46	54
3	19	24	31	50	52
4	9	13	32	46	50
20	32	42	43	53	58
4	7	29	45	54	56
2	16	17	27	36	37
1	20	24	36	54	58
2	11	22	36	51	59
4	16	27	30	41	49
2	17	25	32	42	49
6	20	23	29	35	53
13	14	18	19	21	36
8	15	33	42	55	58
1	3	11	37	49	58
3	31	37	41	44	59
11	12	15	22	27	44
6	22	40	43	47	58
17	38	49	54	55	56
15	20	30	37	47	51
12	20	32	38	48	54
13	18	21	30	50	54
30	35	45	47	52	55
17	18	26	39	54	56
8	20	25	50	51	58
1	6	31	37	49	50
4	11	14	21	29	56
4	7	13	49	56	58
16	30	34	50	52	53
30	33	35	40	41	59
34	42	46	57	58	59
20	25	34	41	42	52
8	16	21	41	44	56
12	25	39	46	52	55
7	17	28	43	44	45
10	27	49	52	55	56
5	9	25	34	51	59
14	24	30	45	49	56
4	6	24	35	45	52
1	26	41	55	56	59
5	10	29	35	55	56
5	13	21	35	41	47
2	6	14	16	25	36
7	8	14	47	56	58
7	14	19	38	40	45
1	11	18	27	32	50
16	18	25	27	29	57
2	19	36	52	54	59
2	10	21	23	54	56
4	16	26	39	42	54
1	3	5	11	15	43
1	11	16	20	24	44
2	4	14	23	34	46
10	18	28	35	36	50
6	8	12	36	37	41
12	19	21	38	47	51
18	23	28	52	56	59
20	22	31	39	41	54
3	30	44	45	55	59
7	8	13	29	43	53
3	19	20	24	30	38
7	14	15	21	23	57
7	12	17	35	37	58
5	34	36	38	39	48
13	22	24	34	41	57
24	29	30	36	46	48
