7	8	13	24	45	46	39
7	19	38	45	47	53	15
3	7	36	42	53	59	50
8	10	22	37	55	57	29
15	19	20	29	42	50	36
9	10	27	30	33	45	29
2	11	35	40	48	55	7
14	25	29	30	35	53	38
5	8	9	10	38	53	56
2	8	33	46	48	50	5
3	12	15	29	51	58	13
5	19	29	34	40	45	57
8	26	27	29	49	58	38
5	19	21	42	44	57	18
29	33	43	45	49	56	16
1	22	39	44	48	59	5
2	10	19	28	29	31	47
30	33	37	43	55	56	46
6	7	9	18	35	46	5
6	11	27	29	40	55	45
18	28	31	32	44	51	50
11	19	20	30	35	49	44
33	37	42	47	55	58	34
18	36	48	57	58	59	50
20	32	36	44	47	56	41
10	20	28	38	41	46	16
22	25	35	45	46	57	14
6	14	23	24	43	58	40
2	32	37	39	46	54	19
3	19	24	31	50	52	16
4	9	13	32	46	50	52
20	32	42	43	53	58	8
4	7	29	45	54	56	8
2	16	17	27	36	37	42
1	20	24	36	54	58	11
2	11	22	36	51	59	7
4	16	27	30	41	49	54
2	17	25	32	42	49	4
6	20	23	29	35	53	57
13	14	18	19	21	36	53
8	15	33	42	55	58	53
1	3	11	37	49	58	21
3	31	37	41	44	59	32
11	12	15	22	27	44	7
6	22	40	43	47	58	42
17	38	49	54	55	56	13
15	20	30	37	47	51	21
12	20	32	38	48	54	5
13	18	21	30	50	54	20
30	35	45	47	52	55	40
17	18	26	39	54	56	57
8	20	25	50	51	58	45
1	6	31	37	49	50	38
4	11	14	21	29	56	27
4	7	13	49	56	58	6
16	30	34	50	52	53	46
30	33	35	40	41	59	8
34	42	46	57	58	59	38
20	25	34	41	42	52	58
8	16	21	41	44	56	45
12	25	39	46	52	55	3
7	17	28	43	44	45	54
10	27	49	52	55	56	17
5	9	25	34	51	59	44
14	24	30	45	49	56	27
4	6	24	35	45	52	8
1	26	41	55	56	59	36
5	10	29	35	55	56	30
5	13	21	35	41	47	23
2	6	14	16	25	36	42
7	8	14	47	56	58	23
7	14	19	38	40	45	18
1	11	18	27	32	50	25
16	18	25	27	29	57	4
2	19	36	52	54	59	6
2	10	21	23	54	56	44
4	16	26	39	42	54	24
1	3	5	11	15	43	48
1	11	16	20	24	44	42
2	4	14	23	34	46	45
10	18	28	35	36	50	2
6	8	12	36	37	41	50
12	19	21	38	47	51	48
18	23	28	52	56	59	36
20	22	31	39	41	54	33
3	30	44	45	55	59	37
7	8	13	29	43	53	16
3	19	20	24	30	38	41
7	14	15	21	23	57	52
7	12	17	35	37	58	25
5	34	36	38	39	48	30
13	22	24	34	41	57	40
24	29	30	36	46	48	7
12	15	30	43	47	59	41
4	6	34	37	42	52	24
4	27	47	54	55	59	45
8	10	16	19	23	31	48
3	16	34	42	49	52	50
14	23	36	45	47	50	21
10	16	18	32	42	45	30
1	2	11	23	25	54	14
5	6	16	32	42	51	39
39	48	52	53	54	58	28
6	11	12	19	27	31	42
3	8	19	26	37	41	43
6	24	27	38	39	58	55
6	15	23	29	55	57	46
11	19	22	42	43	49	48
24	38	39	40	49	56	21
2	7	21	22	47	53	42
18	24	34	38	41	49	26
1	16	28	31	38	54	5
11	13	21	37	49	59	4
17	23	28	38	47	56	31
15	18	23	42	43	52	28
7	23	41	44	49	54	37
6	9	27	30	40	50	22
6	8	15	31	45	58	39
5	21	23	34	43	45	20
4	9	20	23	37	53	39
4	13	37	40	52	58	51
8	14	20	27	28	53	45
14	19	21	36	53	54	33
21	26	29	35	46	59	10
8	16	33	36	45	51	38
10	29	37	42	48	49	32
10	17	35	41	51	54	25
5	40	47	48	52	54	33
16	19	29	46	54	58	12
10	13	22	35	42	52	27
2	11	18	32	40	54	8
3	7	8	9	40	58	36
11	26	31	32	33	46	20
16	27	31	32	44	58	42
3	8	9	19	21	54	31
10	20	25	39	45	55	22
1	2	28	40	48	49	17
2	4	8	25	38	39	29
5	7	8	16	28	37	40
7	12	33	47	50	51	40
3	11	16	31	44	55	8
12	13	30	34	39	52	38
8	12	16	26	45	49	27
5	14	19	24	31	38	29
7	8	16	24	29	58	42
5	11	27	29	52	53	13
9	19	26	27	45	50	23
2	3	4	32	54	59	12
14	16	25	42	46	51	53
2	22	29	30	36	58	53
11	17	20	32	40	42	27
11	16	25	37	43	44	39
4	5	18	28	43	58	55
19	29	37	41	51	53	55
11	24	34	43	44	47	42
20	21	28	33	49	56	43
10	14	25	29	52	54	37
16	23	35	42	44	58	28
6	17	37	46	47	51	2
3	10	12	29	30	44	11
2	6	17	28	38	55	37
15	16	26	45	47	49	50
5	10	22	23	34	54	8
4	10	15	37	38	59	1
8	18	26	35	41	52	17
4	15	27	36	37	59	55
12	20	31	39	43	46	38
11	17	35	36	40	59	39
34	39	42	47	53	54	8
16	17	22	38	41	55	5
14	26	28	41	51	57	48
9	24	26	38	40	46	30
19	20	30	37	54	59	25
18	29	30	37	46	59	23
10	14	17	32	36	50	41
1	22	30	34	57	58	51
1	3	22	29	36	42	12
1	3	20	24	38	39	4
3	9	16	19	24	43	13
10	19	21	45	46	56	2
13	14	18	22	24	56	16
11	25	36	39	40	57	37
10	17	26	31	35	38	47
2	14	19	20	29	38	27
4	17	30	38	47	55	3
28	33	43	49	55	58	21
7	32	34	48	55	58	30
23	27	36	39	41	49	6
8	10	36	40	52	57	59
6	20	33	44	45	55	16
6	7	19	28	30	52	46
1	3	28	34	37	46	59
9	12	23	24	32	51	16
13	22	23	33	49	54	53
4	14	17	27	34	36	28
1	2	3	4	20	21	22
1	2	5	38	53	56	31
12	24	29	34	39	57	28
2	14	26	35	44	59	24
1	7	9	10	12	31	28
2	5	14	42	51	55	54
