32	10	34	33	26
22	4	11	1	26
31	15	16	25	5
34	21	20	24	17
22	17	11	10	4
34	29	3	6	21
9	26	2	18	14
35	16	31	27	19
21	15	30	16	25
11	31	28	5	22
24	26	22	19	28
33	19	16	32	7
21	30	8	2	34
10	25	19	14	20
4	18	17	5	13
2	26	32	23	3
7	22	6	27	34
26	16	33	34	10
19	4	34	9	11
23	27	13	34	33
1	6	21	15	5
25	29	19	31	36
26	34	21	8	19
6	15	29	23	7
31	32	5	2	14
27	29	28	19	14
20	14	33	7	9
15	36	10	32	9
32	23	17	12	4
23	15	10	21	17
29	19	20	11	16
6	2	14	22	20
23	9	13	14	12
33	14	15	5	20
1	16	29	12	7
5	31	24	30	34
33	35	24	18	3
13	12	28	17	35
25	33	29	10	34
21	5	9	12	18
16	24	13	11	27
14	26	25	2	29
8	10	30	11	4
26	16	21	20	14
22	8	35	25	17
16	27	4	34	15
2	34	33	17	32
12	36	11	15	32
4	1	27	11	33
35	31	8	14	1
35	3	4	29	16
27	26	23	12	30
7	10	27	21	3
30	16	12	26	22
1	36	14	16	24
32	17	12	28	3
36	27	32	20	21
20	30	7	36	16
17	4	27	23	6
24	11	17	19	25
26	20	18	12	25
4	19	2	22	10
29	17	23	30	1
10	16	32	9	27
36	10	12	27	30
30	29	4	10	19
31	22	7	13	3
15	11	30	21	26
5	23	8	14	25
23	17	16	31	5
7	8	23	21	15
18	6	12	36	8
8	20	1	13	5
3	8	34	18	31
26	2	31	23	1
30	32	36	10	21
18	15	36	9	10
31	28	17	9	29
7	29	30	17	11
13	34	15	27	6
13	24	5	25	19
19	34	23	20	24
7	34	4	17	1
6	11	32	16	26
18	32	13	19	1
27	28	17	23	36
16	10	1	8	33
11	8	32	6	13
22	34	31	18	27
4	5	6	29	13
13	17	27	26	22
10	7	9	19	36
20	31	3	23	35
36	25	28	26	22
24	12	25	7	18
25	12	24	6	3
8	18	3	10	28
8	28	22	13	27
33	4	34	10	15
19	2	4	16	6
22	24	28	29	21
14	7	24	34	9
24	2	1	36	22
13	6	9	5	30
21	5	34	9	11
10	36	35	17	27
25	19	11	23	26
9	14	33	17	2
13	7	36	1	4
25	9	33	19	29
1	29	7	15	28
33	2	14	30	24
15	35	27	31	19
34	32	25	6	3
25	11	26	31	32
30	24	4	14	2
21	2	12	24	22
6	28	15	22	5
2	16	30	9	4
7	4	6	9	34
32	26	12	16	34
16	21	18	27	6
19	9	8	18	22
3	21	14	1	24
15	25	3	31	26
18	10	27	7	22
12	31	21	18	28
4	9	16	36	11
2	23	1	12	32
24	6	28	33	30
23	17	24	25	9
1	12	31	4	34
29	34	2	35	32
5	9	26	33	21
22	32	19	14	7
3	1	26	4	36
18	30	3	24	16
34	18	9	11	13
32	27	3	8	36
8	3	22	17	28
13	5	18	15	36
23	14	3	28	4
20	8	3	12	27
6	29	21	14	32
11	4	6	18	32
2	9	12	30	24
24	1	2	36	17
20	30	21	3	12
31	18	2	28	8
7	16	4	17	10
34	8	10	4	6
2	15	16	23	13
19	13	34	5	28
4	30	25	33	34
4	5	33	30	11
31	27	16	6	10
9	26	6	4	33
15	33	16	26	6
29	18	35	3	15
13	26	5	15	29
30	20	21	3	6
30	22	35	11	21
10	24	23	28	1
20	15	2	5	8
26	36	6	25	10
28	27	7	8	25
21	12	13	26	16
36	4	13	31	9
4	33	22	24	36
16	2	5	32	26
7	28	2	6	30
10	20	33	9	27
11	1	18	19	3
19	3	4	10	15
23	12	17	15	25
29	3	7	30	9
12	7	8	24	18
13	7	6	2	28
4	9	23	5	12
10	30	31	6	9
11	21	2	1	12
27	28	9	22	7
35	28	1	14	15
20	21	24	14	8
9	15	21	25	35
6	13	25	10	14
25	8	16	5	20
21	8	33	29	10
2	19	6	34	12
31	24	17	9	15
14	29	33	6	16
16	26	17	28	3
32	10	22	17	25
3	33	20	15	24
25	32	9	20	31
23	32	36	22	6
3	6	10	5	13
3	26	6	34	28
2	4	9	20	25
15	27	13	14	29
14	35	12	21	2
12	24	15	18	2
4	29	33	3	9
23	27	21	33	5
19	27	33	20	14
23	18	2	36	30
31	4	14	16	30
8	35	33	17	6
25	9	13	16	26
5	1	22	11	13
3	5	15	16	30
18	31	25	13	34
6	26	15	33	16
14	31	6	28	18
20	34	6	2	15
29	11	1	24	20
15	22	33	35	14
6	5	18	14	2
1	21	13	6	34
26	9	16	35	13
24	20	1	15	29
6	12	23	26	31
22	8	24	33	30
8	28	21	13	2
23	11	35	28	30
4	25	12	21	35
27	9	19	14	18
14	35	29	11	31
30	19	14	33	17
12	18	25	29	6
33	7	35	31	24
32	7	6	27	34
33	8	11	15	5
4	22	28	2	31
10	22	28	18	16
19	1	35	20	9
14	26	17	15	16
35	34	18	21	22
15	3	17	7	34
3	27	22	28	34
35	30	4	19	18
10	19	27	20	17
24	17	16	14	7
9	34	24	30	32
24	25	29	21	22
11	14	24	20	12
20	12	22	17	32
33	13	2	12	7
23	29	9	36	6
26	19	31	34	8
28	27	32	18	21
16	29	12	33	22
5	7	13	4	29
28	31	12	24	1
15	28	34	22	19
16	3	31	25	27
2	5	4	21	18
27	11	20	1	3
36	1	34	13	9
14	33	24	26	13
29	8	7	6	4
5	7	11	19	18
21	6	1	26	12
31	7	2	8	23
17	18	3	19	16
2	32	13	36	24
12	10	1	19	16
1	11	22	29	17
12	35	16	15	8
26	36	1	34	7
20	22	33	8	19
31	30	25	1	14
17	31	6	36	33
4	35	30	3	2
19	2	29	33	30
9	36	4	10	33
10	25	26	28	6
10	17	2	23	11
32	12	9	27	28
33	24	1	9	8
5	8	28	9	33
20	34	21	18	5
22	12	11	33	13
6	8	29	2	27
30	25	11	31	1
11	1	25	23	3
29	30	16	23	4
28	4	27	24	16
5	7	3	15	11
5	3	9	31	1
3	20	17	25	21
30	16	24	23	32
20	30	12	2	3
32	30	17	9	15
12	23	36	27	7
7	33	18	26	19
33	4	14	3	28
25	12	9	33	17
23	33	16	9	12
10	31	32	25	14
30	6	9	12	32
10	33	6	35	24
30	16	1	7	8
16	15	19	32	7
2	11	28	17	9
22	31	27	14	23
23	19	31	36	29
32	28	36	27	1
12	20	32	21	3
26	15	33	5	27
3	19	1	21	29
4	29	30	1	7
20	26	1	8	17
15	14	33	6	4
14	12	5	33	26
31	28	6	35	32
14	20	26	30	12
33	21	31	19	22
33	13	32	17	9
