2	15	14	5
2	9	10	15
18	12	5	1
17	13	15	2
10	5	4	6
14	7	9	4
4	1	19	5
9	3	10	11
20	3	14	16
18	2	1	17
1	14	20	5
15	2	7	1
4	18	8	7
16	3	2	14
9	17	7	19
12	10	15	11
7	1	6	11
3	13	4	20
1	3	9	6
13	11	7	17
14	18	6	16
8	6	11	1
11	3	14	10
11	9	12	1
2	3	1	19
11	17	18	9
13	11	14	17
9	16	2	1
2	1	13	6
12	11	6	19
10	9	16	20
11	7	19	17
14	3	20	16
19	8	1	12
13	6	14	9
18	7	9	1
8	5	17	1
5	7	13	17
16	18	17	7
2	20	5	6
3	9	19	4
1	8	16	4
5	3	9	1
3	5	13	1
6	19	14	4
13	7	1	10
17	14	9	18
13	5	16	6
8	4	5	16
3	4	16	20
5	11	13	17
17	11	4	1
20	17	19	18
3	11	18	12
20	13	9	16
3	18	5	14
15	19	5	14
10	13	14	20
2	16	4	5
5	2	15	8
11	6	10	2
7	12	1	15
17	4	9	13
4	15	11	6
15	10	12	7
10	13	4	17
5	18	3	1
5	14	16	2
15	8	12	2
10	14	6	3
7	12	9	2
8	5	16	18
19	3	7	17
20	18	10	3
5	13	9	14
4	12	1	15
5	13	1	11
20	9	2	16
20	9	14	19
1	19	8	4
4	19	7	15
19	12	3	6
6	15	1	7
11	19	16	8
2	17	3	7
4	18	5	17
4	10	15	20
16	6	11	5
11	3	15	9
3	9	19	10
4	2	7	3
20	6	14	4
16	20	10	12
11	17	13	16
12	14	2	20
12	5	9	6
16	14	8	13
13	14	9	2
14	11	12	19
14	15	7	17
9	4	18	2
15	10	2	20
2	12	14	6
20	7	2	10
19	3	8	13
1	7	11	5
3	2	20	9
19	10	20	13
8	12	19	4
15	7	14	16
7	14	2	4
11	10	13	8
12	1	8	13
6	17	16	20
17	10	19	6
9	2	8	14
6	7	13	19
19	6	10	9
3	13	6	10
2	6	14	5
2	6	9	13
9	7	4	3
2	11	8	3
14	4	13	11
19	15	12	18
2	14	13	15
12	4	14	13
14	18	19	11
12	6	20	4
2	14	18	8
5	16	7	8
3	8	7	6
14	11	20	12
3	16	9	13
2	16	9	17
