04	06	16	25	13	01
24	16	35	28	33	03
01	28	14	30	32	02
03	36	31	08	02	04
23	29	32	18	02	04
20	18	14	10	22	01
32	01	35	33	31	03
32	19	31	12	05	01
34	35	30	07	01	01
04	06	16	30	17	01
05	14	20	10	21	04
20	24	04	27	30	02
31	13	35	27	34	02
17	33	23	14	19	02
35	19	23	12	18	01
19	14	04	01	25	03
24	03	13	23	30	02
19	11	02	08	17	02
21	06	23	09	01	01
02	29	24	13	18	03
29	04	25	19	36	03
14	31	15	32	08	02
35	27	17	11	18	03
22	36	01	29	06	03
21	25	07	19	20	01
10	02	06	13	03	01
23	36	34	22	15	02
05	20	24	03	18	01
12	11	27	07	19	02
36	06	29	24	19	03
09	35	08	12	07	03
30	19	15	21	11	03
25	05	11	01	35	02
12	10	17	28	08	04
30	09	33	21	36	04
22	19	08	23	03	01
18	14	35	13	01	02
06	34	25	33	04	02
22	10	26	34	16	01
24	27	16	20	09	04
16	30	28	20	29	02
14	11	17	22	20	04
23	24	33	13	17	04
10	28	20	14	04	02
14	20	33	18	15	04
20	21	25	27	01	02
12	20	13	36	30	03
19	26	03	33	02	02
12	01	05	24	16	02
33	04	26	05	30	02
33	29	23	06	19	01
25	01	24	34	14	01
30	11	35	05	25	02
06	26	25	20	30	03
06	25	24	16	03	02
24	20	32	10	19	01
10	30	03	14	32	03
27	10	20	26	22	04
32	26	23	05	09	04
14	13	20	32	27	04
28	33	31	04	11	01
01	10	08	13	02	04
17	07	02	28	03	02
10	33	28	15	05	04
02	07	28	23	35	04
01	31	05	30	03	04
13	21	15	04	18	04
25	26	13	11	30	02
01	17	32	34	19	02
27	01	07	30	33	04
22	27	29	33	20	03
25	12	26	14	17	03
23	24	09	11	15	02
06	31	18	29	23	03
01	31	36	35	33	02
20	14	17	28	15	02
25	31	01	08	16	01
30	17	21	35	10	01
30	26	25	20	02	01
34	11	36	32	03	02
09	04	29	28	21	03
22	18	30	24	19	03
20	11	27	12	36	03
16	04	06	24	11	01
19	06	04	22	26	01
11	30	26	10	22	02
08	16	27	05	14	04
13	23	22	35	28	04
35	23	22	21	12	01
33	05	06	03	35	01
21	27	20	34	28	02
02	30	32	17	27	01
13	16	04	10	31	02
23	20	02	19	03	03
29	08	25	10	21	03
08	14	26	33	28	04
12	08	11	23	36	01
06	19	16	31	13	01
31	08	06	35	33	02
03	18	27	36	07	03
13	16	05	27	25	01
12	30	19	22	17	04
33	31	22	07	23	02
25	23	35	31	32	04
26	04	35	07	24	03
31	32	36	07	27	02
01	14	31	03	23	01
23	35	08	04	10	01
04	34	25	20	33	01
04	35	20	18	27	02
17	21	34	35	19	02
19	18	15	36	09	03
30	01	35	05	20	02
22	35	16	23	20	03
13	08	19	35	01	02
13	06	19	01	14	03
06	17	20	23	01	04
18	23	35	30	32	04
14	11	20	29	17	02
12	16	05	30	15	03
27	26	33	30	08	04
28	36	25	17	20	03
31	26	19	09	13	04
01	12	29	18	10	04
15	36	34	11	03	04
30	18	22	28	13	01
22	10	25	20	32	03
06	13	11	32	35	01
31	02	17	12	20	02
22	06	03	20	17	04
29	30	28	24	09	03
14	10	26	31	06	04
35	07	06	31	01	03
02	08	07	14	03	03
29	36	33	21	06	04
31	25	26	35	24	03
35	01	11	21	07	04
25	20	23	11	35	01
19	14	06	33	09	03
03	18	31	16	02	03
20	13	17	03	35	03
17	20	21	02	16	03
19	05	15	34	25	04
13	23	09	06	01	01
11	16	08	30	04	04
08	29	34	01	26	01
35	32	15	23	17	02
21	19	22	07	20	01
18	16	02	04	25	01
31	01	03	12	04	04
19	06	31	17	15	04
06	08	13	02	04	04
19	09	08	18	28	03
08	26	24	11	02	01
08	17	29	09	14	04
28	25	29	23	06	01
16	17	35	24	28	02
03	33	06	21	23	03
20	11	29	32	13	01
33	07	28	26	21	04
